GSM,748,1,21,3462,0,-56.2481,-34.808,6487,24,1,1414175487,1739687160,0
GSM,748,1,23,272,0,-56.191,-34.8962,5698,26,1,1414175487,1736577861,0
GSM,748,1,25,832,0,-56.1505,-34.8476,8898,22,1,1411980356,1734244572,0
GSM,748,1,25,8431,0,-56.1227,-34.793,10823,23,1,1414175488,1747545720,0
GSM,748,1,27,1024,0,-55.9588,-34.8192,22923,22,1,1414175488,1742710866,0
GSM,748,1,27,2091,0,-55.9959,-34.7455,12697,26,1,1414175488,1737614998,0
GSM,748,1,27,2093,0,-55.9606,-34.8143,7854,21,1,1414175488,1737614887,0
GSM,748,1,27,2883,0,-55.9511,-34.8146,5013,24,1,1414175488,1740552303,0
GSM,748,1,31,2254,0,-55.5672,-34.7742,2039,25,1,1414175488,1739687229,0
GSM,748,1,31,3282,0,-55.8539,-34.7752,2815,23,1,1414175488,1743573148,0
GSM,748,1,41,1581,0,-55.9068,-34.2816,23078,26,1,1414175489,1741330428,0
GSM,748,1,2,931,0,-56.0388,-34.8311,8699,24,1,1414175485,1739429590,0
GSM,748,1,2,933,0,-56.0221,-34.8403,7935,26,1,1414175485,1739429594,0
GSM,748,1,2,4253,0,-56.0993,-34.8616,3158,21,1,1412090028,1742366459,0
GSM,748,1,10,941,0,-56.0656,-34.8097,9887,25,1,1414175486,1745731233,0
GSM,748,1,21,1063,0,-56.2111,-34.7209,5302,21,1,1414175487,1750139014,0
GSM,748,1,21,5453,0,-56.2061,-34.7111,9509,21,1,1414175487,1750139014,0
GSM,748,1,26,8551,0,-56.2214,-34.8692,3082,26,1,1414175488,1739860756,0
GSM,748,1,27,963,0,-56.0633,-34.7596,5965,23,1,1414175488,1742626126,0
GSM,748,1,41,1411,0,-55.9824,-34.4818,24600,26,1,1414175489,1744436709,0
GSM,748,1,41,1965,0,-55.9011,-34.5494,23739,23,1,1414175489,1739771561,0
UMTS,748,10,19220,68896429,422,-56.1353,-34.8915,1000,5,1,1415558376,1742590328,0
GSM,748,1,9,773,0,-56.183,-34.878,1855,21,1,1417372266,1748410141,0
UMTS,748,10,19220,68886428,0,-56.1478,-34.877,1000,17,1,1417773664,1733813040,0
UMTS,748,10,19240,69017716,0,-55.2305,-34.779,1545,17,1,1419212828,1752125376,0
UMTS,748,10,19240,69027615,0,-55.2252,-34.7796,3355,20,1,1419212948,1751001813,0
UMTS,748,10,19240,69067568,0,-56.0962,-34.7999,1852,20,1,1419630717,1734677644,0
LTE,748,1,101,518146,0,-56.2026,-34.9096,786,27,1,1419923968,1759431903,0
UMTS,748,10,19730,68982230,0,-57.9795,-31.4079,1000,2,1,1420205729,1734591285,0
UMTS,748,10,19240,69017491,0,-56.1924,-34.8162,1340,24,1,1422286917,1751694063,0
